modality,pair,subject,method,hf_ratio
T2W,3T_to_0.1T,0009,UNet,6.633197633555018
T2W,3T_to_0.1T,0009,INR,5.266611272186021
T2W,3T_to_1.5T,0006,identite,1.5850367797092968
T2W,3T_to_1.5T,0006,Vectorise,0.7227100395155881
T2W,3T_to_1.5T,0006,UNet,0.7444781241519578
T2W,3T_to_1.5T,0006,INR,0.4972815658799843
T2W,3T_to_1.5T,0007,identite,1.5950703106706574
T2W,3T_to_1.5T,0007,Vectorise,0.6698966470280278
T2W,3T_to_1.5T,0007,UNet,0.683031781514294
T2W,3T_to_1.5T,0007,INR,0.6830282286879713
T2W,3T_to_1.5T,0009,identite,1.6463771446662463
T2W,3T_to_1.5T,0009,Vectorise,0.6811372419745896
T2W,3T_to_1.5T,0009,UNet,0.7154251789103442
T2W,3T_to_1.5T,0009,INR,0.6539883455142679
T2W,3T_to_5T,0006,identite,1.0578658465724264
T2W,3T_to_5T,0006,Vectorise,0.5350485579392338
T2W,3T_to_5T,0006,UNet,0.5216671072212715
T2W,3T_to_5T,0006,INR,0.301199039258127
T2W,3T_to_5T,0007,identite,0.7971904331492704
T2W,3T_to_5T,0007,Vectorise,0.3518556014745789
T2W,3T_to_5T,0007,UNet,0.3521934718307776
T2W,3T_to_5T,0007,INR,0.28702573311558444
T2W,3T_to_5T,0009,identite,0.7662267633982054
T2W,3T_to_5T,0009,Vectorise,0.34949149551400904
T2W,3T_to_5T,0009,UNet,0.34308885058314703
T2W,3T_to_5T,0009,INR,0.28191550235464585
T2W,3T_to_7T,0006,identite,1.3572553620539223
T2W,3T_to_7T,0006,Vectorise,0.6827678782344175
T2W,3T_to_7T,0006,UNet,0.6586667155535819
T2W,3T_to_7T,0006,INR,0.34483945447159403
T2W,3T_to_7T,0007,identite,1.3345378393264302
T2W,3T_to_7T,0007,Vectorise,0.5830193884349516
T2W,3T_to_7T,0007,UNet,0.5901311618934338
T2W,3T_to_7T,0007,INR,0.45040564573496206
T2W,3T_to_7T,0009,identite,1.3024004382927072
T2W,3T_to_7T,0009,Vectorise,0.587284176102342
T2W,3T_to_7T,0009,UNet,0.5834616631955754
T2W,3T_to_7T,0009,INR,0.4412644294181898
T2W,5T_to_0.1T,0006,identite,13.483676415408368
T2W,5T_to_0.1T,0006,Vectorise,4.531238321561074
T2W,5T_to_0.1T,0006,UNet,5.550936727566877
T2W,5T_to_0.1T,0006,INR,4.289211355530157
T2W,5T_to_0.1T,0007,identite,8.812129439405265
T2W,5T_to_0.1T,0007,Vectorise,3.03497534902362
T2W,5T_to_0.1T,0007,UNet,3.6657520759367954
T2W,5T_to_0.1T,0007,INR,2.7687739259670643
T2W,5T_to_0.1T,0009,identite,19.88693085190489
T2W,5T_to_0.1T,0009,Vectorise,6.565103306537794
T2W,5T_to_0.1T,0009,UNet,8.099646297352573
T2W,5T_to_0.1T,0009,INR,5.689038646970032
T2W,5T_to_1.5T,0006,identite,1.4768697138772495
T2W,5T_to_1.5T,0006,Vectorise,0.5533778102014275
T2W,5T_to_1.5T,0006,UNet,0.6129698007570858
T2W,5T_to_1.5T,0006,INR,0.4354168637492636
T2W,5T_to_1.5T,0007,identite,1.9977213750720577
T2W,5T_to_1.5T,0007,Vectorise,0.7644135381526636
T2W,5T_to_1.5T,0007,UNet,0.8420563896646029
T2W,5T_to_1.5T,0007,INR,0.579685809364104
T2W,5T_to_1.5T,0009,identite,2.1648984282512664
T2W,5T_to_1.5T,0009,Vectorise,0.776583564717388
T2W,5T_to_1.5T,0009,UNet,0.8842407541341222
T2W,5T_to_1.5T,0009,INR,0.5653288205579857
T2W,5T_to_3T,0006,identite,0.9467362059638913
T2W,5T_to_3T,0006,Vectorise,0.38739475518449146
T2W,5T_to_3T,0006,UNet,0.39924322914693366
T2W,5T_to_3T,0006,INR,0.3169992316352808
T2W,5T_to_3T,0007,identite,1.251377096133708
T2W,5T_to_3T,0007,Vectorise,0.5128919198917302
T2W,5T_to_3T,0007,UNet,0.5280918955884557
T2W,5T_to_3T,0007,INR,0.40205293796293995
T2W,5T_to_3T,0009,identite,1.30597616949224
T2W,5T_to_3T,0009,Vectorise,0.5116142056243261
T2W,5T_to_3T,0009,UNet,0.5359573101238566
T2W,5T_to_3T,0009,INR,0.3615997113404781
T2W,5T_to_7T,0006,identite,1.280785391259319
T2W,5T_to_7T,0006,Vectorise,0.5534925968913661
T2W,5T_to_7T,0006,UNet,0.5490140465019651
T2W,5T_to_7T,0006,INR,0.3713848678011063
T2W,5T_to_7T,0007,identite,1.6722160308209493
T2W,5T_to_7T,0007,Vectorise,0.7218332554895152
T2W,5T_to_7T,0007,UNet,0.7271305428050275
T2W,5T_to_7T,0007,INR,0.44935471336144706
T2W,5T_to_7T,0009,identite,1.7083225119422165
T2W,5T_to_7T,0009,Vectorise,0.7334407395230731
T2W,5T_to_7T,0009,UNet,0.7220430684751044
T2W,5T_to_7T,0009,INR,0.4668053372568933
T2W,7T_to_0.1T,0006,identite,10.523028474188683
T2W,7T_to_0.1T,0006,Vectorise,3.6066390115839866
T2W,7T_to_0.1T,0006,UNet,4.376145173720645
T2W,7T_to_0.1T,0006,INR,5.485320607604014
T2W,7T_to_0.1T,0007,identite,5.191623249025019
T2W,7T_to_0.1T,0007,Vectorise,2.1455404692938287
T2W,7T_to_0.1T,0007,UNet,2.322106303417289
T2W,7T_to_0.1T,0007,INR,3.6209316668019893
T2W,7T_to_0.1T,0009,identite,11.673864192213138
T2W,7T_to_0.1T,0009,Vectorise,3.8825493189036013
T2W,7T_to_0.1T,0009,UNet,4.550287146268411
T2W,7T_to_0.1T,0009,INR,7.219225316424458
T2W,7T_to_1.5T,0006,identite,1.1680649630766586
T2W,7T_to_1.5T,0006,Vectorise,0.4167398445296142
T2W,7T_to_1.5T,0006,UNet,0.47318468718077483
T2W,7T_to_1.5T,0006,INR,0.5063073847246673
T2W,7T_to_1.5T,0007,identite,1.1932803232408518
T2W,7T_to_1.5T,0007,Vectorise,0.5236745189923172
T2W,7T_to_1.5T,0007,UNet,0.5377106328384852
T2W,7T_to_1.5T,0007,INR,0.646124219921594
T2W,7T_to_1.5T,0009,identite,1.2779229862547947
T2W,7T_to_1.5T,0009,Vectorise,0.44194279412515697
T2W,7T_to_1.5T,0009,UNet,0.5062531229560454
T2W,7T_to_1.5T,0009,INR,0.6453779430835854
T2W,7T_to_3T,0006,identite,0.7416864823464893
T2W,7T_to_3T,0006,Vectorise,0.29468285783206033
T2W,7T_to_3T,0006,UNet,0.3168404292880194
T2W,7T_to_3T,0006,INR,0.2893370006571896
T2W,7T_to_3T,0007,identite,0.7451305091536012
T2W,7T_to_3T,0007,Vectorise,0.34172995960944397
T2W,7T_to_3T,0007,UNet,0.3367906569143865
T2W,7T_to_3T,0007,INR,0.3760538545945777
T2W,7T_to_3T,0009,identite,0.7700661379340777
T2W,7T_to_3T,0009,Vectorise,0.27739061820098865
T2W,7T_to_3T,0009,UNet,0.30108870295076606
T2W,7T_to_3T,0009,INR,0.3392590613282392
T2W,7T_to_5T,0006,identite,0.7849230553721642
T2W,7T_to_5T,0006,Vectorise,0.3285468839371252
T2W,7T_to_5T,0006,UNet,0.3355288619376868
T2W,7T_to_5T,0006,INR,0.319993514091648
